server_id,server_open_date,game_name
S3,2024-10-01,Hiệp Khách Vô Song
S4,2024-10-01,Hiệp Khách Vô Song
S5,2024-10-01,Hiệp Khách Vô Song
S6,2024-10-01,Hiệp Khách Vô Song
S7,2024-10-01,Hiệp Khách Vô Song
S8,2024-10-01,Hiệp Khách Vô Song
S9,2024-11-12,Hiệp Khách Vô Song
S10,2024-11-12,Hiệp Khách Vô Song
S11,2024-12-23,Hiệp Khách Vô Song
S12,2024-12-23,Hiệp Khách Vô Song
S13,2025-02-02,Hiệp Khách Vô Song
S14,2025-02-02,Hiệp Khách Vô Song
S15,2025-03-14,Hiệp Khách Vô Song
S16,2025-03-14,Hiệp Khách Vô Song
S17,2025-04-24,Hiệp Khách Vô Song
S18,2025-04-24,Hiệp Khách Vô Song
S19,2025-06-06,Hiệp Khách Vô Song
S20,2025-06-06,Hiệp Khách Vô Song
S21,2025-07-18,Hiệp Khách Vô Song
S22,2025-08-27,Hiệp Khách Vô Song
S23,2025-08-28,Hiệp Khách Vô Song
S24,2025-10-08,Hiệp Khách Vô Song
S25,2025-10-08,Hiệp Khách Vô Song
S26,2025-11-18,Hiệp Khách Vô Song
S27,2025-11-18,Hiệp Khách Vô Song
S28,2025-12-30,Hiệp Khách Vô Song
S29,2025-12-30,Hiệp Khách Vô Song
S30,2026-02-11,Hiệp Khách Vô Song
S31,2026-02-11,Hiệp Khách Vô Song
S32,2026-02-22,Hiệp Khách Vô Song
S1,2025-08-01,Thanh Vân Kiếm
S2,2025-08-01,Thanh Vân Kiếm
S3,2025-08-01,Thanh Vân Kiếm
S4,2025-08-01,Thanh Vân Kiếm
S5,2025-08-01,Thanh Vân Kiếm
S6,2025-08-01,Thanh Vân Kiếm
S7,2025-08-01,Thanh Vân Kiếm
S8,2025-08-01,Thanh Vân Kiếm
S9,2025-08-01,Thanh Vân Kiếm
S10,2025-08-01,Thanh Vân Kiếm
S11,2025-08-01,Thanh Vân Kiếm
S12,2025-10-10,Thanh Vân Kiếm
S13,2025-10-10,Thanh Vân Kiếm
S14,2025-12-22,Thanh Vân Kiếm
S15,2025-12-22,Thanh Vân Kiếm
S16,2026-02-22,Thanh Vân Kiếm
S17,2026-02-22,Thanh Vân Kiếm
S18,2026-02-22,Thanh Vân Kiếm
S1,2025-11-01,Tiên Kiếm Kỳ Hiệp
S2,2025-11-01,Tiên Kiếm Kỳ Hiệp
S3,2025-11-01,Tiên Kiếm Kỳ Hiệp
S4,2025-11-01,Tiên Kiếm Kỳ Hiệp
S5,2025-11-01,Tiên Kiếm Kỳ Hiệp
S6,2025-11-01,Tiên Kiếm Kỳ Hiệp
S7,2025-11-01,Tiên Kiếm Kỳ Hiệp
S8,2025-11-01,Tiên Kiếm Kỳ Hiệp
S9,2025-11-01,Tiên Kiếm Kỳ Hiệp
S10,2025-11-01,Tiên Kiếm Kỳ Hiệp
S11,2026-02-03,Tiên Kiếm Kỳ Hiệp
S12,2026-02-03,Tiên Kiếm Kỳ Hiệp
S13,2026-02-22,Tiên Kiếm Kỳ Hiệp
S14,2026-02-22,Tiên Kiếm Kỳ Hiệp
S1,2025-03-01,Tình Kiếm
S2,2025-03-01,Tình Kiếm
S3,2025-03-01,Tình Kiếm
S4,2025-03-01,Tình Kiếm
S5,2025-03-01,Tình Kiếm
S6,2025-03-01,Tình Kiếm
S7,2025-03-01,Tình Kiếm
S8,2025-03-01,Tình Kiếm
S9,2025-03-01,Tình Kiếm
S10,2025-03-01,Tình Kiếm
S11,2025-03-01,Tình Kiếm
S12,2025-04-23,Tình Kiếm
S13,2025-04-23,Tình Kiếm
S14,2025-06-13,Tình Kiếm
S15,2025-06-13,Tình Kiếm
S16,2025-08-02,Tình Kiếm
S17,2025-08-02,Tình Kiếm
S18,2025-09-25,Tình Kiếm
S19,2025-09-25,Tình Kiếm
S20,2025-11-16,Tình Kiếm
S21,2026-01-07,Tình Kiếm
S22,2026-01-07,Tình Kiếm
S23,2026-02-22,Tình Kiếm
S24,2026-02-22,Tình Kiếm
S25,2026-02-22,Tình Kiếm
