txn_id,user_id,game,date,method,amount,actual_paid,note
BILL25020918544961,2022620432,Hiệp Khách Vô Song,09/02/2025 18:54:49,momo,100000,85000,Sự kiện (X2 Bonus)
BILL25021018125856,2022620432,Hiệp Khách Vô Song,10/02/2025 18:12:58,momo,100000,85000,Sự kiện
BILL25021418590987,2022620432,Hiệp Khách Vô Song,14/02/2025 18:59:09,banking,50000,42500,Sự kiện (X2 Bonus)
BILL25022118274517,2022620432,Hiệp Khách Vô Song,21/02/2025 18:27:45,banking,100000,85000,Sự kiện
BILL25050318190592,2022620432,Tình Kiếm,03/05/2025 18:19:05,banking,5000000,4000000,Nạp đầu (X2 Bonus)
BILL25050518004196,2022620432,Tình Kiếm,05/05/2025 18:00:41,banking,2000000,1600000,Sự kiện (X2 Bonus)
BILL25050818225572,2022620432,Tình Kiếm,08/05/2025 18:22:55,momo,100000,85000,Sự kiện (X2 Bonus)
BILL25050818255160,2022620432,Tình Kiếm,08/05/2025 18:25:51,banking,500000,400000,Sự kiện (X2 Bonus)
BILL25051118250946,2022620432,Tình Kiếm,11/05/2025 18:25:09,banking,2000000,1600000,Sự kiện
BILL25051118350056,2022620432,Tình Kiếm,11/05/2025 18:35:00,momo,200000,170000,Sự kiện (X2 Bonus)
BILL25051211580262,2022620432,Tình Kiếm,12/05/2025 11:58:02,momo,20000,17000,Sự kiện (X2 Bonus)
BILL25051607540529,2022620432,Tình Kiếm,16/05/2025 07:54:05,inapp,10000,8500,Sự kiện (X2 Bonus)
BILL25051811375281,2022620432,Tình Kiếm,18/05/2025 11:37:52,inapp,100000,85000,Sự kiện
BILL25052307123474,2022620432,Tình Kiếm,23/05/2025 07:12:34,banking,10000,8500,Sự kiện
BILL25053018275071,2022620432,Tình Kiếm,30/05/2025 18:27:50,momo,20000,17000,Sự kiện
BILL25060111032350,2022620432,Tình Kiếm,01/06/2025 11:03:23,inapp,20000,17000,Sự kiện (X2 Bonus)
BILL25060411553046,2022620432,Tình Kiếm,04/06/2025 11:55:30,banking,10000,8500,Sự kiện (X2 Bonus)
BILL25060511525683,2022620432,Tình Kiếm,05/06/2025 11:52:56,banking,10000,8500,Sự kiện
BILL24092211094074,2022660760,Cửu Long Tranh Bá,22/09/2024 11:09:40,banking,200000,170000,Nạp đầu (X2 Bonus)
BILL25032807152010,2022637781,Tình Kiếm,28/03/2025 07:15:20,inapp,50000,42500,Nạp đầu (X2 Bonus)
BILL25040318105012,2022637781,Tình Kiếm,03/04/2025 18:10:50,momo,50000,42500,Sự kiện (X2 Bonus)
BILL25040811592411,2022637781,Tình Kiếm,08/04/2025 11:59:24,banking,10000,8500,Sự kiện (X2 Bonus)
BILL25041018165793,2022637781,Tình Kiếm,10/04/2025 18:16:57,inapp,10000,8500,Sự kiện
BILL25041218131472,2022637781,Tình Kiếm,12/04/2025 18:13:14,momo,50000,42500,Sự kiện
BILL25041907023257,2022637781,Tình Kiếm,19/04/2025 07:02:32,banking,20000,17000,Sự kiện (X2 Bonus)
BILL25042718463518,2022637781,Tình Kiếm,27/04/2025 18:46:35,banking,10000,8500,Sự kiện
BILL25112318525449,2022685099,Tiên Kiếm Kỳ Hiệp,23/11/2025 18:52:54,momo,20000,17000,Nạp đầu (X2 Bonus)
BILL25112319013443,2022685099,Tiên Kiếm Kỳ Hiệp,23/11/2025 19:01:34,banking,20000,17000,Sự kiện
BILL25112811304771,2022685099,Tiên Kiếm Kỳ Hiệp,28/11/2025 11:30:47,momo,10000000,8000000,Sự kiện (X2 Bonus)
BILL25120211423177,2022685099,Tiên Kiếm Kỳ Hiệp,02/12/2025 11:42:31,inapp,10000,8500,Sự kiện (X2 Bonus)
BILL25120211514349,2022685099,Tiên Kiếm Kỳ Hiệp,02/12/2025 11:51:43,banking,100000000,80000000,Sự kiện (X2 Bonus)
BILL25120518314333,2022685099,Tiên Kiếm Kỳ Hiệp,05/12/2025 18:31:43,momo,200000000,160000000,Sự kiện (X2 Bonus)
BILL25120518412818,2022685099,Tiên Kiếm Kỳ Hiệp,05/12/2025 18:41:28,banking,50000,42500,Sự kiện (X2 Bonus)
BILL25120711265833,2022685099,Tiên Kiếm Kỳ Hiệp,07/12/2025 11:26:58,momo,200000,170000,Sự kiện (X2 Bonus)
BILL25120918595294,2022685099,Tiên Kiếm Kỳ Hiệp,09/12/2025 18:59:52,momo,200000,170000,Sự kiện
BILL25121211200476,2022685099,Tiên Kiếm Kỳ Hiệp,12/12/2025 11:20:04,momo,10000000,8000000,Sự kiện (X2 Bonus)
BILL25121318433568,2022685099,Tiên Kiếm Kỳ Hiệp,13/12/2025 18:43:35,momo,20000000,16000000,Sự kiện (X2 Bonus)
BILL25122118541472,2022685099,Tiên Kiếm Kỳ Hiệp,21/12/2025 18:54:14,banking,10000000,8000000,Sự kiện
BILL25122119020225,2022685099,Tiên Kiếm Kỳ Hiệp,21/12/2025 19:02:02,momo,50000000,40000000,Sự kiện (X2 Bonus)
BILL25122611500597,2022685099,Tiên Kiếm Kỳ Hiệp,26/12/2025 11:50:05,momo,5000000,4000000,Sự kiện (X2 Bonus)
BILL25122611514779,2022685099,Tiên Kiếm Kỳ Hiệp,26/12/2025 11:51:47,momo,20000,17000,Sự kiện (X2 Bonus)
BILL25122811162059,2022685099,Tiên Kiếm Kỳ Hiệp,28/12/2025 11:16:20,momo,100000,85000,Sự kiện (X2 Bonus)
BILL26010118454393,2022685099,Tiên Kiếm Kỳ Hiệp,01/01/2026 18:45:43,inapp,10000000,10000000,Sự kiện (X2 Bonus)
BILL26010118532646,2022685099,Tiên Kiếm Kỳ Hiệp,01/01/2026 18:53:26,banking,20000000,16000000,Sự kiện (X2 Bonus)
BILL26010518350760,2022685099,Tiên Kiếm Kỳ Hiệp,05/01/2026 18:35:07,momo,10000000,8000000,Sự kiện
BILL26010518445993,2022685099,Tiên Kiếm Kỳ Hiệp,05/01/2026 18:44:59,banking,100000,85000,Sự kiện (X2 Bonus)
BILL26011011250174,2022685099,Tiên Kiếm Kỳ Hiệp,10/01/2026 11:25:01,banking,20000000,16000000,Sự kiện
BILL26011118460139,2022685099,Tiên Kiếm Kỳ Hiệp,11/01/2026 18:46:01,momo,1000000,800000,Sự kiện (X2 Bonus)
BILL26011411150612,2022685099,Tiên Kiếm Kỳ Hiệp,14/01/2026 11:15:06,inapp,2000000,2000000,Sự kiện (X2 Bonus)
BILL26011807410863,2022685099,Tiên Kiếm Kỳ Hiệp,18/01/2026 07:41:08,momo,20000,17000,Sự kiện (X2 Bonus)
BILL26012318141952,2022685099,Tiên Kiếm Kỳ Hiệp,23/01/2026 18:14:19,momo,500000,400000,Sự kiện (X2 Bonus)
BILL24070411094097,2022648707,Cửu Long Tranh Bá,04/07/2024 11:09:40,banking,10000,8500,Nạp đầu (X2 Bonus)
BILL24070611174626,2022648707,Cửu Long Tranh Bá,06/07/2024 11:17:46,inapp,50000,42500,Sự kiện (X2 Bonus)
BILL24071018140895,2022648707,Cửu Long Tranh Bá,10/07/2024 18:14:08,momo,50000,42500,Sự kiện
BILL24071307154885,2022648707,Cửu Long Tranh Bá,13/07/2024 07:15:48,banking,10000,8500,Sự kiện
BILL24071911063569,2022648707,Cửu Long Tranh Bá,19/07/2024 11:06:35,banking,10000,8500,Sự kiện
BILL24072618402451,2022648707,Cửu Long Tranh Bá,26/07/2024 18:40:24,banking,10000,8500,Sự kiện
BILL24080118493282,2022648707,Cửu Long Tranh Bá,01/08/2024 18:49:32,banking,20000,17000,Sự kiện (X2 Bonus)
BILL24080411092535,2022648707,Cửu Long Tranh Bá,04/08/2024 11:09:25,momo,20000,17000,Sự kiện
BILL24080818345552,2022648707,Cửu Long Tranh Bá,08/08/2024 18:34:55,momo,20000,17000,Sự kiện
BILL25082918184476,2022620728,Tình Kiếm,29/08/2025 18:18:44,momo,5000000,4000000,Nạp đầu (X2 Bonus)
BILL25083014054940,2022620728,Tình Kiếm,30/08/2025 14:05:49,inapp,50000,42500,Sự kiện (X2 Bonus)
BILL25083014072639,2022620728,Tình Kiếm,30/08/2025 14:07:26,momo,50000,42500,Sự kiện
BILL25090314475398,2022620728,Tình Kiếm,03/09/2025 14:47:53,banking,1000000,800000,Sự kiện (X2 Bonus)
BILL25090314510493,2022620728,Tình Kiếm,03/09/2025 14:51:04,momo,20000,17000,Sự kiện (X2 Bonus)
BILL25090718401215,2022620728,Tình Kiếm,07/09/2025 18:40:12,momo,50000,42500,Sự kiện (X2 Bonus)
BILL25090718492137,2022620728,Tình Kiếm,07/09/2025 18:49:21,momo,20000,17000,Sự kiện
BILL25091018554736,2022620728,Tình Kiếm,10/09/2025 18:55:47,momo,20000,17000,Sự kiện
BILL25091019045094,2022620728,Tình Kiếm,10/09/2025 19:04:50,banking,100000,85000,Sự kiện (X2 Bonus)
BILL25091218514970,2022620728,Tình Kiếm,12/09/2025 18:51:49,momo,10000,8500,Sự kiện (X2 Bonus)
BILL25091307285289,2022620728,Tình Kiếm,13/09/2025 07:28:52,momo,100000,85000,Sự kiện
BILL25091918415233,2022620728,Tình Kiếm,19/09/2025 18:41:52,momo,50000,42500,Sự kiện
BILL25092718423458,2022620728,Tình Kiếm,27/09/2025 18:42:34,momo,100000,85000,Sự kiện
BILL25092718473964,2022620728,Tình Kiếm,27/09/2025 18:47:39,momo,200000,170000,Sự kiện (X2 Bonus)
BILL25092811302175,2022620728,Tình Kiếm,28/09/2025 11:30:21,banking,10000,8500,Sự kiện
BILL25092811402135,2022620728,Tình Kiếm,28/09/2025 11:40:21,banking,100000,85000,Sự kiện
BILL25100418495146,2022620728,Tình Kiếm,04/10/2025 18:49:51,momo,1000000,800000,Sự kiện (X2 Bonus)
BILL25100811313569,2022620728,Tình Kiếm,08/10/2025 11:31:35,banking,200000,170000,Sự kiện (X2 Bonus)
BILL25100811344063,2022620728,Tình Kiếm,08/10/2025 11:34:40,banking,10000,8500,Sự kiện (X2 Bonus)
BILL25101218061640,2022620728,Tình Kiếm,12/10/2025 18:06:16,momo,200000,170000,Sự kiện
BILL25101411423644,2022620728,Tình Kiếm,14/10/2025 11:42:36,banking,500000,400000,Sự kiện (X2 Bonus)
BILL25101411501439,2022620728,Tình Kiếm,14/10/2025 11:50:14,momo,200000,170000,Sự kiện
BILL25101818170239,2022620728,Tình Kiếm,18/10/2025 18:17:02,inapp,100000,85000,Sự kiện (X2 Bonus)
BILL25101818253378,2022620728,Tình Kiếm,18/10/2025 18:25:33,banking,50000,42500,Sự kiện (X2 Bonus)
BILL25102411563260,2022620728,Tình Kiếm,24/10/2025 11:56:32,momo,20000,17000,Sự kiện (X2 Bonus)
BILL25102518064647,2022620728,Tình Kiếm,25/10/2025 18:06:46,momo,100000,85000,Sự kiện
BILL25103118501074,2022620728,Tình Kiếm,31/10/2025 18:50:10,banking,500000,400000,Sự kiện
BILL25110311300835,2022620728,Tình Kiếm,03/11/2025 11:30:08,banking,50000,42500,Sự kiện (X2 Bonus)
BILL25110718440956,2022620728,Tình Kiếm,07/11/2025 18:44:09,banking,50000,42500,Sự kiện
BILL25110918565736,2022620728,Tình Kiếm,09/11/2025 18:56:57,banking,100000,85000,Sự kiện (X2 Bonus)
BILL25111011075958,2022620728,Tình Kiếm,10/11/2025 11:07:59,banking,10000,8500,Sự kiện (X2 Bonus)
BILL25111418455277,2022620728,Tình Kiếm,14/11/2025 18:45:52,momo,10000,8500,Sự kiện
BILL25111518042585,2022620728,Tình Kiếm,15/11/2025 18:04:25,banking,10000,8500,Sự kiện
BILL25112118553222,2022620728,Tình Kiếm,21/11/2025 18:55:32,momo,10000,8500,Sự kiện
BILL25092018075242,2022649337,Thanh Vân Kiếm,20/09/2025 18:07:52,banking,1000000,800000,Nạp đầu (X2 Bonus)
BILL25092018151689,2022649337,Thanh Vân Kiếm,20/09/2025 18:15:16,momo,200000,170000,Sự kiện (X2 Bonus)
BILL25092611013794,2022649337,Thanh Vân Kiếm,26/09/2025 11:01:37,banking,2000000,1600000,Sự kiện (X2 Bonus)
BILL25092611090959,2022649337,Thanh Vân Kiếm,26/09/2025 11:09:09,inapp,10000,8500,Sự kiện (X2 Bonus)
BILL25100118581836,2022649337,Thanh Vân Kiếm,01/10/2025 18:58:18,banking,5000000,4000000,Sự kiện (X2 Bonus)
BILL25100211003573,2022649337,Thanh Vân Kiếm,02/10/2025 11:00:35,banking,20000,17000,Sự kiện (X2 Bonus)
BILL25100418370345,2022649337,Thanh Vân Kiếm,04/10/2025 18:37:03,inapp,10000,8500,Sự kiện (X2 Bonus)
BILL25100418424092,2022649337,Thanh Vân Kiếm,04/10/2025 18:42:40,banking,20000,17000,Sự kiện
BILL25101118072720,2022649337,Thanh Vân Kiếm,11/10/2025 18:07:27,banking,20000,17000,Sự kiện
BILL25101211503830,2022649337,Thanh Vân Kiếm,12/10/2025 11:50:38,banking,50000,42500,Sự kiện (X2 Bonus)
BILL25101211555428,2022649337,Thanh Vân Kiếm,12/10/2025 11:55:54,banking,10000,8500,Sự kiện
BILL25101318212145,2022649337,Thanh Vân Kiếm,13/10/2025 18:21:21,banking,10000,8500,Sự kiện
BILL25101718534945,2022649337,Thanh Vân Kiếm,17/10/2025 18:53:49,banking,200000,170000,Sự kiện (X2 Bonus)
BILL25101811403535,2022649337,Thanh Vân Kiếm,18/10/2025 11:40:35,banking,1000000,800000,Sự kiện (X2 Bonus)
BILL25101811492537,2022649337,Thanh Vân Kiếm,18/10/2025 11:49:25,banking,10000,8500,Sự kiện
BILL25101911271281,2022649337,Thanh Vân Kiếm,19/10/2025 11:27:12,momo,100000,85000,Sự kiện (X2 Bonus)
BILL25102418021391,2022649337,Thanh Vân Kiếm,24/10/2025 18:02:13,momo,20000,17000,Sự kiện
BILL25103118260311,2022649337,Thanh Vân Kiếm,31/10/2025 18:26:03,banking,10000,8500,Sự kiện
BILL25110107111091,2022649337,Thanh Vân Kiếm,01/11/2025 07:11:10,momo,10000,8500,Sự kiện (X2 Bonus)
BILL25110411341064,2022649337,Thanh Vân Kiếm,04/11/2025 11:34:10,momo,10000,8500,Sự kiện
BILL25110511421879,2022649337,Thanh Vân Kiếm,05/11/2025 11:42:18,momo,10000,8500,Sự kiện
BILL25110718010782,2022649337,Thanh Vân Kiếm,07/11/2025 18:01:07,banking,20000,17000,Sự kiện (X2 Bonus)
BILL25110807525797,2022649337,Thanh Vân Kiếm,08/11/2025 07:52:57,banking,20000,17000,Sự kiện
BILL25110918585548,2022649337,Thanh Vân Kiếm,09/11/2025 18:58:55,momo,20000,17000,Sự kiện
BILL25111218333847,2022649337,Thanh Vân Kiếm,12/11/2025 18:33:38,banking,200000,170000,Sự kiện (X2 Bonus)
BILL25111411061384,2022649337,Thanh Vân Kiếm,14/11/2025 11:06:13,banking,20000,17000,Sự kiện
BILL25120118012625,2022661090,Thanh Vân Kiếm,01/12/2025 18:01:26,momo,200000,170000,Nạp đầu (X2 Bonus)
BILL24053111553787,2022652678,Cửu Long Tranh Bá,31/05/2024 11:55:37,inapp,20000,17000,Nạp đầu (X2 Bonus)
BILL24060107580574,2022652678,Cửu Long Tranh Bá,01/06/2024 07:58:05,banking,10000,8500,Sự kiện (X2 Bonus)
BILL24060214131124,2022652678,Cửu Long Tranh Bá,02/06/2024 14:13:11,banking,2000000,1600000,Sự kiện (X2 Bonus)
